ID,LBL,FIP,MMT_ID,SHORT__FRM,LONG_FRM,ADM0,ADM1,ADM2,ADM3,ADM4,ADM5,STL-0,STL-1,STL-2,STL-3,STL-4,STL-5,total_sum,f_60_sum,f_65sum,f_70_sum,f_75_sum,f_80_sum,m_60_sum,m_65_sum,m_70_sum,m_75_sum,m_80_sum,kmsquare,PopDens,PopDenTot,PopDenRank,ElderlyPop,EldPoptot,EldPopRank,FinalRank
"1",BOT-1,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Bobonong,"-","-","-","32","1","5","-","-","-",32633.540353817657888,571.050012654244370,456.023481561345989,275.263634202534831,184.481720609989424,221.669728368606229,374.071868331615008,318.891210437401810,186.496241113462020,124.551811966966653,71.359082964541258,7544.221603216792573,4.325633851993821,487.031405778992564,0.008881632273950,2783.858792210706724,162036.524182374414522,0.017180440065953,0.026062072339903
"2",BOT-2,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Letlhakane,"-","-","-","32","1","2","-","-","-",82900.765080478042364,1041.393703042958805,840.292825158740015,574.554280430984363,344.288891499021702,73.661987487811530,832.248546146824083,623.389619445391872,390.595329826743182,261.145356953215014,95.419855346096938,31054.899310978747963,2.669490705808548,487.031405778992564,0.005481146953016,5076.990395337788868,162036.524182374414522,0.031332382751086,0.036813529704102
"3",BOT-3,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Mahalapye East,"-","-","-","32","1","9","-","-","-",50534.216247513148119,962.260417979719819,707.194376871775489,442.094119817242927,305.046630309582440,44.669572257863202,723.159262659691649,504.920689364080488,311.690700684589615,208.182500761938854,33.759439541351824,5946.302811940451647,8.498426307190092,487.031405778992564,0.017449442081866,4242.977710247837422,162036.524182374414522,0.026185316746688,0.043634758828554
"4",BOT-4,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Mahalapye West,"-","-","-","32","1","3","-","-","-",118942.858655033604009,2264.874277668841387,1664.528442261530927,1040.547653286139848,717.986033878096237,105.117410983723431,1702.111048082039815,1188.435364405861037,733.626053447125059,489.998920581825530,79.429112378643282,28159.035268279632874,4.223967814302908,487.031405778992564,0.008672885904651,9986.654316973825189,162036.524182374414522,0.061632118853239,0.070305004757890
"5",BOT-5,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Palapye,"-","-","-","32","1","6","-","-","-",87354.149562188278651,1601.115014786249731,1142.577016487865876,830.254788183751543,511.379247576532805,473.636190634370394,1079.362041056292583,822.311216344606237,510.313025172337291,316.608716609458497,482.998961604379701,8403.429195258173422,10.395059865736698,487.031405778992564,0.021343715707840,7770.556218455844828,162036.524182374414522,0.047955584444097,0.069299300151937
"6",BOT-6,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Selebi-Phikwe,"-","-","-","32","1","7","-","-","-",55263.765642737969756,240.870293517124082,143.127642914843818,102.563910606231730,46.673360015747676,55.571645212582553,335.336667535419110,146.787668390295948,64.828290727578860,27.839117879305832,34.445561026883752,5158.171134689941937,10.713829417383199,487.031405778992564,0.021998231100203,1198.044157826013361,162036.524182374414522,0.007393667346737,0.029391898446940
"7",BOT-7,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Serowe,"-","-","-","32","1","4","-","-","-",75523.760810409672558,1384.480484349754988,987.992181424087903,717.926363337530347,442.196849386575195,409.558906929723889,933.274907895363867,711.044628446172283,441.270014540514239,273.776209381841909,417.660120198035656,12655.479118544200901,5.967672982032260,487.031405778992564,0.012253158443627,6719.180665889600277,162036.524182374414522,0.041467074783257,0.053720233226884
"8",BOT-8,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Tonota,"-","-","-","32","1","8","-","-","-",45145.902674131095409,811.796961043612100,738.054628180321743,469.162891925765507,307.048615386703204,330.681439098940245,502.849116816658352,441.722845112719369,307.048346993142331,195.537533468378570,118.269990271293864,5843.189478077787498,7.726243149140968,487.031405778992564,0.015863952627004,4222.172368297535286,162036.524182374414522,0.026056917658549,0.041920870285553
"9",BOT-9,BC,BOT,Botswana,Republic of Botswana,Botswana,Central,Tutume,"-","-","-","32","1","1","-","-","-",174181.601165439002216,3132.182956223805377,2847.697647674383916,1810.216499688322074,1184.719391739301500,1275.910261616555545,1940.145288977735618,1704.321684318470943,1184.719411935646349,754.467299144970639,456.336285160660736,42255.708403871089104,4.122084512242659,487.031405778992564,0.008463693436052,16290.716726479851786,162036.524182374414522,0.100537312860059,0.109001006296111
"10",BOT-10,BC,BOT,Botswana,Republic of Botswana,Botswana,Ghanzi,Ghanzi,"-","-","-","32","2","1","-","-","-",58018.454036755676498,658.502732529702143,723.077653683453946,532.091003348043159,244.356126612838466,120.538543091980273,527.143042476214987,597.070441518105326,395.262500887383851,212.206628894341179,57.945731350065621,115744.793656831228873,0.501261890092207,487.031405778992564,0.001029218822738,4068.194404392128490,162036.524182374414522,0.025106650645094,0.026135869467832
"11",BOT-11,BC,BOT,Botswana,Republic of Botswana,Botswana,Kgalagadi,Hukuntsi,"-","-","-","32","3","2","-","-","-",25170.881201889151271,383.288901375041007,362.575946488091915,277.567962864539368,139.737615615550396,0.000933139803692,323.257905311488912,248.622567967826740,157.066186792634454,103.090055164334345,11.011468346981074,45146.076364815344277,0.557543051991692,487.031405778992564,0.001144778438056,2006.219543066291635,162036.524182374414522,0.012381279795957,0.013526058234013
"12",BOT-12,BC,BOT,Botswana,Republic of Botswana,Botswana,Kgalagadi,Tsabong,"-","-","-","32","3","1","-","-","-",34474.130854574061232,364.256726869799706,308.265454886241628,190.859143198276456,115.464207080443970,57.611262614454240,343.215182458321863,296.468983786158333,129.551470192105370,69.479060008246961,47.032281348508910,60962.769148753119225,0.565494831287190,487.031405778992564,0.001161105474056,1922.203772442557465,162036.524182374414522,0.011862780827606,0.013023886301662
"13",BOT-13,BC,BOT,Botswana,Republic of Botswana,Botswana,Kgatleng,Kgatleng,"-","-","-","32","4","1","-","-","-",115774.686193615285447,2053.173443568526181,1882.591663315447931,900.266166744049428,702.824394673478196,328.800822335990176,1525.169078730413048,1316.421334027224930,661.917723863401648,479.304719523125527,192.432426461924337,7845.372730051148210,14.757066385150637,487.031405778992564,0.030300030367748,10042.901773243582284,162036.524182374414522,0.061979247110609,0.092279277478357
"14",BOT-14,BC,BOT,Botswana,Republic of Botswana,Botswana,Kweneng,Kweneng North,"-","-","-","32","5","2","-","-","-",187352.218921567022335,2859.679057218686921,2116.642545509683259,1185.918418332150850,755.170391967016599,815.938312587573023,2107.393730730841526,1541.988346943727947,828.674673365950412,431.738848416481403,394.346168075474907,10598.134802632985156,17.677848263924847,487.031405778992564,0.036297142348859,13037.490493147586676,162036.524182374414522,0.080460195989354,0.116757338338213
"15",BOT-15,BC,BOT,Botswana,Republic of Botswana,Botswana,Kweneng,Kweneng South,"-","-","-","32","5","3","-","-","-",140983.748568262904882,2151.901536345743807,1592.765683499514125,892.394921558545320,568.260276962548232,613.996682164050071,1585.811671787909290,1160.340240560853999,623.571301704514553,324.880198643319090,296.747686030013938,2693.225539995813051,52.347546269178061,487.031405778992564,0.107482896683941,9810.670199257012428,162036.524182374414522,0.060546042003561,0.168028938687502
"16",BOT-16,BC,BOT,Botswana,Republic of Botswana,Botswana,Kweneng,Kweneng West,"-","-","-","32","5","1","-","-","-",23995.630531130180316,360.236828279899726,274.177879543664062,217.583499800282141,129.675911216602714,57.257705993780121,294.153936120652816,238.755214351627899,167.174680631766705,76.151632846147947,30.067463222760900,23771.301728742946580,1.009436959109227,487.031405778992564,0.002072632169366,1845.234752007185307,162036.524182374414522,0.011387770512347,0.013460402681713
"17",BOT-17,BC,BOT,Botswana,Republic of Botswana,Botswana,North-East,Tati,"-","-","-","32","6","1","-","-","-",185370.133636585436761,2323.452789304690668,1757.739030149816244,1056.868130907954765,661.468246254764381,649.450892820124864,1568.488035284011858,1197.376381928457704,649.350307302651345,396.680380285522915,224.598982028808678,5302.499878975629144,34.959007612914164,487.031405778992564,0.071779780930140,10485.473176266803421,162036.524182374414522,0.064710553556834,0.136490334486974
"18",BOT-18,BC,BOT,Botswana,Republic of Botswana,Botswana,North-West,Chobe,"-","-","-","32","7","3","-","-","-",28839.527494835667312,302.546311308382428,207.868762977956067,128.187805724768623,82.508250441811469,173.491180194967455,228.093610690903006,190.092101142244701,90.566855743353017,53.040103817396528,41.774421187245949,20306.918383156527852,1.420182370888755,487.031405778992564,0.002915997518922,1498.169403229029285,162036.524182374414522,0.009245874723546,0.012161872242468
"19",BOT-19,BC,BOT,Botswana,Republic of Botswana,Botswana,North-West,Ngamiland East,"-","-","-","32","7","1","-","-","-",114321.989257878158242,1591.313835327873676,1093.613092639247043,641.884481124852755,586.350028050693254,1036.251049629697718,1229.490844647193171,863.187819653982615,467.920012345466148,409.530943020868961,313.892927612409835,65135.751839926386310,1.755134254669062,487.031405778992564,0.003603739376646,8233.435034052285118,162036.524182374414522,0.050812217033151,0.054415956409797
"20",BOT-20,BC,BOT,Botswana,Republic of Botswana,Botswana,North-West,Ngamiland West,"-","-","-","32","7","2","-","-","-",64327.590183817548677,2151.591838112970436,1602.701489593371662,1225.477238280647725,780.704516412144585,163.728450284479550,83.695647102089424,54.199019265441621,21.475669192825478,4.233985327389703,0.419247982234724,43202.186787904691300,1.488989214819731,487.031405778992564,0.003057275562010,6088.227101553595276,162036.524182374414522,0.037573177604706,0.040630453166716
"21",BOT-21,BC,BOT,Botswana,Republic of Botswana,Botswana,South-East,Bamalete-Tlokweng,"-","-","-","32","8","1","-","-","-",465747.555662406608462,3627.719544525374658,2310.655118712784315,1190.099929919746501,645.362870928142911,878.147327253504045,3231.303500510592130,1965.714148286861018,826.763422914469629,377.476456250496994,609.611961619300928,2398.068663639019633,194.217773128999710,487.031405778992564,0.398778745732740,15662.854280921274039,162036.524182374414522,0.096662492360627,0.495441238093367
"22",BOT-22,BC,BOT,Botswana,Republic of Botswana,Botswana,Southern,Barolong,"-","-","-","32","9","5","-","-","-",57718.155300661921501,1127.998723932192661,874.982183956337394,495.057788368445472,333.973863593433634,32.382141202666389,882.214894462784287,723.159281509957509,417.767967477586353,242.970694147625181,71.656676831473305,1215.523301550530505,47.484203081122523,487.031405778992564,0.097497209661814,5202.164215482502186,162036.524182374414522,0.032104886486132,0.129602096147946
"23",BOT-23,BC,BOT,Botswana,Republic of Botswana,Botswana,Southern,Ngwaketse Centra,"-","-","-","32","9","3","-","-","-",45708.005232570692897,858.712770897855080,714.921248354232375,370.871319778464567,281.334800625041680,124.602875793985731,640.972160455199628,550.181275981301042,263.963460146108446,190.010373752796568,70.621170737439570,2554.663091814823019,17.891989506960741,487.031405778992564,0.036736829072333,4066.191456522424687,162036.524182374414522,0.025094289556260,0.061831118628593
"24",BOT-24,BC,BOT,Botswana,Republic of Botswana,Botswana,Southern,Ngwaketse North,"-","-","-","32","9","4","-","-","-",53781.277141511440277,1010.405672352957481,841.218097320612287,436.388472119931976,331.037539690711128,146.617189351673005,754.200730273085355,647.374692687124480,310.595972706203611,223.579581768699427,83.096671302055256,1652.426877632638934,32.546842386491299,487.031405778992564,0.066826988979147,4784.514619573054915,162036.524182374414522,0.029527383679176,0.096354372658323
"25",BOT-25,BC,BOT,Botswana,Republic of Botswana,Botswana,Southern,Ngwaketse South,"-","-","-","32","9","2","-","-","-",38667.325841501355171,726.477808989733603,604.830926991056913,313.763127405520208,238.013338149547508,105.406115383470933,542.265325639220464,465.460089393229282,223.320025689696195,160.752598310186386,59.742740513824856,5629.486948376546934,6.868712228323470,487.031405778992564,0.014103222393507,3440.032096465486120,162036.524182374414522,0.021229979560619,0.035333201954126
"26",BOT-26,BC,BOT,Botswana,Republic of Botswana,Botswana,Southern,Ngwaketse West,"-","-","-","32","9","1","-","-","-",39085.693180538248271,297.017279010420680,238.915179297694522,126.671688932790403,102.688059341443932,105.289374453426717,316.515785289226187,158.157505639944247,87.088367557262245,71.436535417586583,47.616734092855950,16703.532260550404317,2.339965737238042,487.031405778992564,0.004804547939769,1551.396509032651466,162036.524182374414522,0.009574363044757,0.014378910984526
